cliente_id,nome,email,celular,sexo,data_nascimento,documento,cidade,estado,cep,endereco,data_cadastro,atualizado_em
5abbe1dd-4e76-4b0d-bc63-b5920736e1b7,Davi Miguel Freitas,fcostela@example.net,+55 44 1794-7474,Feminino,2000-10-27,260.834.517-44,Rocha Alegre,MS,99085187,"Quadra Miguel Silveira, 845",2025-12-15,2026-01-10
d925a4ba-9818-48c9-9e91-1782cdadb4bf,Rhavi Ferreira,thiago40@example.org,93 0989-5328,Masculino,1997-10-08,319.768.420-69,Gomes,SE,97100-664,"Feira da Costa, 16",2022-09-19,2025-09-09
28e5fd34-05c3-4abf-b643-91a16eb71efa,Luara Rios,jadevargas@example.com,+55 54 5807-9556,Masculino,1989-01-09,860.147.392-03,Marques das Flores,PI,41486853,Lagoa de Costa,2025-06-26,2026-05-12
c003a17c-f279-4786-a354-9cacd1c76c9c,Srta. Ana Beatriz da Costa,ncamara@example.com,61 2023-7514,Feminino,1985-02-15,502.471.983-23,da Mata,MT,06900006,"Vila de da Cruz, 331",2023-08-13,2025-03-12
00966880-5a1d-4764-9d14-62a153004030,Davi Luiz Martins,goncalveseduardo@example.com,+55 67 9966-7701,Masculino,1989-09-16,728.456.190-49,Almeida,ES,70515-746,"Setor Cauê Ramos, 3",2024-03-09,2024-08-27
8a99df00-669c-426a-8185-8cfaf82d1361,Leonardo Cirino,diasigor@example.org,96 9933-9915,Feminino,1994-02-09,836.702.591-12,Sá de Rezende,PA,73721-641,"Trevo Pimenta, 236",2023-05-06,2025-05-18
4366e5a8-8fdb-4c43-be6e-b8773d5cae49,Ana Cecília da Costa,otavioporto@example.net,38 8263-3765,Masculino,1969-09-29,386.051.742-26,Novais,AM,32722455,"Lagoa Cavalcanti, 26",2023-02-23,2024-10-27
44bde7cd-796b-47a8-8c1f-af643f65c81d,Thales Martins,asantos@example.com,96 5714-0423,Masculino,1993-12-30,436.805.127-08,Abreu do Amparo,PA,01750076,Núcleo de Pimenta,2024-01-12,2025-03-01
52fd7236-1f51-44cd-bba0-48c9fee76811,Dr. Luiz Gustavo Sampaio,maria-vitoria62@example.net,15 7310-9592,Feminino,1995-03-29,634.059.218-05,Rios Grande,MG,13987-244,"Trevo Mathias Albuquerque, 1",2025-05-26,2025-06-29
8ba2519d-890b-4c6f-81e9-11f61bf873ef,Eloá Sá,teixeirabento@example.net,+55 84 9757-4332,Feminino,1982-04-29,196.083.572-68,Oliveira Alegre,RO,81237877,Praça Samuel Araújo,2024-08-23,2025-05-22
3e456f53-f83c-4f8a-8749-4b20915c8f70,Pedro Henrique Rodrigues,dsantos@example.com,+55 28 5116-6663,Feminino,1978-12-26,835.042.671-35,Souza de Minas,PI,10374-223,"Chácara de Alves, 20",2026-07-04,2026-07-07
d08dbeaf-e024-491d-9857-f5daf4c8f70b,Vitor da Cunha,raelsilveira@example.com,64 6171-8223,Feminino,1982-05-10,425.790.618-94,Borges,MG,30285320,"Viela de Vargas, 594",2023-07-05,2024-04-05
376d14bf-ae33-494f-b966-5bb160cb4406,Vitor Gabriel Santos,alanamontenegro@example.org,24 4140-0404,Feminino,1997-05-09,276.915.803-12,Cardoso,GO,02503604,Colônia de Mendonça,2025-10-01,2026-06-10
330380ad-134f-4303-801e-58a50d66e7b0,Eloah Oliveira,melissa53@example.org,48 7039-2536,Masculino,2003-09-16,923.614.057-25,Cirino do Sul,MA,52533-409,"Praia Benjamim Fonseca, 22",2024-02-29,2026-02-19
892fc0e7-c914-491c-97f7-c4a064cae3cb,João Fogaça,luiz-otavio59@example.net,89 1796-4996,Feminino,1983-04-29,928.735.104-04,Silva dos Dourados,RN,46340-734,"Área da Mata, 30",2024-06-15,2026-03-22
e98f7fdb-dbf6-4fa7-8e87-7f2edba0920b,Jade Martins,castrobenjamin@example.com,67 4817-9738,Feminino,1965-10-10,081.372.964-50,Casa Grande,DF,11564481,Ladeira Vitor Pastor,2025-08-04,2025-09-12
aebe3dad-a7c9-427d-a135-d42a89c02add,Ágatha Moura,da-conceicaoarthur@example.net,33 0846-0052,Feminino,1985-01-19,573.904.281-04,Souza,AP,19670707,"Loteamento Isabela Siqueira, 49",2025-08-25,2026-03-18
0474d36a-7010-4ba5-b925-bbdfe3bf98e3,Olívia Caldeira,vfreitas@example.com,+55 34 4596-8318,Feminino,1978-12-08,731.082.469-50,Freitas,BA,52441454,"Lagoa Ana Laura Gomes, 15",2025-07-06,2025-12-23
aa7dfff1-15d9-4c57-9578-6723eb475ff8,Sr. Pedro Vargas,pereiraarthur-gabriel@example.net,79 1155-8378,Masculino,1993-02-11,826.719.403-78,Caldeira,MT,21474239,"Passarela Bianca Fogaça, 35",2026-03-20,2026-07-11
780c77aa-35e6-41a7-852b-fcc41d23e9e6,Ian Albuquerque,gomesdante@example.com,15 1950-6152,Masculino,1997-07-14,406.291.583-98,das Neves Verde,PA,87159-777,Sítio Caleb da Luz,2025-10-01,2026-03-16
a26750fe-f6a9-4fad-8837-bbd5014fa55e,Pietro Martins,caio42@example.com,+55 21 9285-1600,Masculino,1997-03-01,912.807.345-23,Casa Grande,RO,40978505,"Quadra de Albuquerque, 88",2022-12-07,2023-01-16
3b529b85-ff35-44c4-95e7-9337e0c71a43,Dra. Ana Júlia Viana,aliciacorreia@example.net,+55 88 2343-4731,Masculino,2002-09-27,036.214.587-35,Peixoto,MT,95269498,"Passarela Nunes, 7",2025-05-13,2025-07-10
6b992061-fee4-4aba-af00-ee51121971c3,Melina da Paz,bella57@example.org,+55 65 9605-9957,Masculino,1993-07-10,905.682.371-02,Peixoto Grande,GO,40624-981,"Passarela de Martins, 80",2023-02-07,2023-12-06
666e7ddb-9472-47b1-a200-4cd868cbf766,Maria Eduarda da Conceição,brayanferreira@example.net,71 1159-3866,Masculino,1982-09-26,281.796.034-31,Pinto das Flores,DF,05172-303,"Lago de Guerra, 10",2024-12-10,2025-12-23
d47e6dbd-7d07-434c-98b3-a3b2656ce9aa,Levi Siqueira,gda-paz@example.net,+55 42 3348-6468,Masculino,1978-08-03,683.925.714-28,Vasconcelos de Minas,MS,06083-359,"Viaduto Freitas, 73",2022-10-08,2024-08-11
5c90a45e-d378-4fa0-aaa7-5442d793e4ec,Amanda Novaes,luan62@example.net,14 1568-7430,Feminino,2003-03-04,502.796.431-52,Siqueira do Sul,AP,26780-677,"Passarela Aragão, 14",2025-10-31,2026-07-17
0e54eba8-0716-4721-b619-d5f5746cf9be,Camila Camargo,yrios@example.org,53 0053-0076,Feminino,1985-05-21,962.570.814-67,Abreu,MA,93323681,"Viaduto Caldeira, 132",2025-02-21,2026-02-15
aa2397c8-6259-4b1f-8324-ac9cf16e5c72,Ana Beatriz Moura,maria-cecilia58@example.org,+55 54 2569-6608,Masculino,1966-09-25,534.928.710-97,Pires,MG,54246-902,Aeroporto Lucca Cavalcante,2024-03-31,2026-01-22
0558e71e-2ee9-48d8-a8b8-cec297626d46,Cecilia Dias,joao-miguel90@example.com,14 7142-1843,Masculino,1996-12-25,812.079.356-03,Sales,PR,14798171,"Lago Costela, 21",2024-12-06,2026-05-21
6972464d-3a62-4096-8918-a12aba5d77aa,Srta. Stella Campos,guerragustavo@example.net,14 4618-0627,Masculino,1977-03-01,913.845.706-75,da Costa,MS,04950638,"Ladeira Bianca Costela, 81",2025-09-06,2025-10-08
e01596bc-8bd2-46bb-a4bf-974fb07acc49,Benjamin Pires,imendonca@example.net,+55 43 2414-1029,Masculino,1971-11-02,829.037.461-50,Nascimento,GO,19003168,"Esplanada João Porto, 90",2022-10-31,2024-01-31
e49e84bd-ca92-4c6d-a6cf-ff8d6fe8f78b,Maria Liz da Conceição,maria-eduarda82@example.net,28 2445-3678,Feminino,1998-09-16,586.712.304-90,Casa Grande do Norte,AP,15697-140,"Ladeira Valentim Pires, 40",2024-12-05,2025-12-19
